invoice_no,invoice_date,customer_id
489434,2009-12-01 07:45:00,13085
489435,2009-12-01 07:46:00,13085
489436,2009-12-01 09:06:00,13078
489437,2009-12-01 09:08:00,15362
489438,2009-12-01 09:24:00,18102
489439,2009-12-01 09:28:00,12682
489440,2009-12-01 09:43:00,18087
489441,2009-12-01 09:44:00,18087
489442,2009-12-01 09:46:00,13635
489443,2009-12-01 09:50:00,14110
489445,2009-12-01 09:57:00,17519
489446,2009-12-01 10:06:00,13758
489448,2009-12-01 10:18:00,15413
489450,2009-12-01 10:36:00,16321
489460,2009-12-01 10:46:00,16167
489461,2009-12-01 10:49:00,17865
489462,2009-12-01 10:49:00,17592
489465,2009-12-01 10:52:00,13767
489488,2009-12-01 10:59:00,17238
489505,2009-12-01 11:17:00,15712
489514,2009-12-01 11:21:00,15311
489517,2009-12-01 11:34:00,16329
489519,2009-12-01 11:37:00,17700
489520,2009-12-01 11:41:00,14911
489522,2009-12-01 11:45:00,15998
489523,2009-12-01 11:46:00,12931
489526,2009-12-01 11:50:00,12533
489529,2009-12-01 11:51:00,17984
489531,2009-12-01 11:57:00,14871
489532,2009-12-01 11:58:00,13394
489533,2009-12-01 12:02:00,16011
489536,2009-12-01 12:13:00,16393
489537,2009-12-01 12:14:00,14040
489539,2009-12-01 12:18:00,15061
489540,2009-12-01 12:18:00,12913
489542,2009-12-01 12:19:00,15061
489544,2009-12-01 12:20:00,14341
489545,2009-12-01 12:22:00,17804
489546,2009-12-01 12:30:00,14156
489547,2009-12-01 12:30:00,13599
489550,2009-12-01 12:33:00,14156
489552,2009-12-01 12:36:00,17063
489556,2009-12-01 12:47:00,15719
489557,2009-12-01 12:52:00,12490
489558,2009-12-01 12:54:00,15793
489559,2009-12-01 12:55:00,17056
489560,2009-12-01 12:56:00,13526
489561,2009-12-01 12:57:00,14654
489562,2009-12-01 13:07:00,17998
489564,2009-12-01 13:13:00,13526
489566,2009-12-01 13:16:00,17742
489567,2009-12-01 13:19:00,15326
489569,2009-12-01 13:20:00,14478
489571,2009-12-01 13:29:00,15967
489572,2009-12-01 13:29:00,17611
489573,2009-12-01 13:29:00,15051
489574,2009-12-01 13:31:00,13097
489575,2009-12-01 13:37:00,13590
489576,2009-12-01 13:38:00,15984
489579,2009-12-01 13:41:00,16887
489580,2009-12-01 13:43:00,12921
489581,2009-12-01 13:47:00,15945
489582,2009-12-01 13:47:00,14543
489584,2009-12-01 13:48:00,18037
489585,2009-12-01 13:49:00,15662
489586,2009-12-01 13:50:00,15380
489590,2009-12-01 14:14:00,13110
489593,2009-12-01 14:19:00,12836
489594,2009-12-01 14:19:00,15005
489598,2009-12-01 14:35:00,16620
489599,2009-12-01 14:40:00,12758
489606,2009-12-01 14:48:00,17961
489611,2009-12-01 14:53:00,15601
489613,2009-12-01 14:56:00,13585
489617,2009-12-01 14:59:00,13442
489634,2009-12-01 15:19:00,13381
489635,2009-12-01 15:26:00,16763
489637,2009-12-01 15:36:00,17243
489639,2009-12-01 16:05:00,14865
