invoice_no,total_invoice_revenue,invoice_items,customer_id,invoice_date
581483,168469.6,1,16446,2011-12-09 09:15:00
541431,77183.6,1,12346,2011-01-18 10:01:00
493819,44051.6,94,14156,2010-01-07 12:34:00
556444,38970.0,1,15098,2011-06-10 15:28:00
524181,33167.799999999996,13,17450,2010-09-27 16:59:00
567423,31698.16,12,17450,2011-09-20 11:05:00
526934,26007.08,15,18102,2010-10-14 09:46:00
515944,22863.36,17,18102,2010-07-15 15:29:00
556917,22775.93,138,12415,2011-06-15 13:37:00
572209,22206.0,7,18102,2011-10-21 12:08:00
