country,total_revenue,num_invoices,avg_invoice_value
united kingdom,14289730.566,33374,428.1695501288428
eire,586626.08,528,1111.0342424242424
netherlands,549773.41,216,2545.2472685185185
germany,383191.951,752,509.56376462765957
france,309685.56,592,523.1175
australia,168452.79,87,1936.2389655172415
spain,96399.08,137,703.6429197080292
switzerland,95543.29000000001,90,1061.5921111111113
sweden,86045.14,98,878.0116326530613
denmark,66133.87,40,1653.34675
belgium,56787.9,144,394.36041666666665
portugal,46609.520000000004,83,561.5604819277108
channel islands,44030.33,54,815.3764814814815
japan,43023.91,33,1303.7548484848485
norway,38575.36,39,989.1117948717949
italy,28937.5,59,490.46610169491527
cyprus,25439.34,41,620.4717073170732
finland,25180.1,54,466.29814814814813
austria,19223.21,35,549.2345714285714
greece,18711.19,18,1039.5105555555556
singapore,13158.16,8,1644.77
israel,10415.24,7,1487.8914285714286
poland,10214.29,28,364.79607142857145
united arab emirates,8897.19,9,988.5766666666667
unspecified,8607.35,16,537.959375
usa,7920.01,16,495.000625
iceland,4921.53,8,615.19125
lithuania,4892.68,6,815.4466666666667
malta,4757.34,7,679.62
canada,4332.1,7,618.8714285714286
thailand,3070.54,2,1535.27
rsa,1933.74,2,966.87
lebanon,1693.88,1,1693.88
brazil,1411.87,2,705.935
bahrain,1354.3700000000001,4,338.59250000000003
european community,1159.25,3,386.4166666666667
korea,1118.51,2,559.255
czech republic,786.74,2,393.37
west indies,536.41,1,536.41
saudi arabia,145.92000000000002,1,145.92000000000002
nigeria,112.57,1,112.57
