customer_id,total_invoices,total_revenue,customer_type
12346,12,77556.46,Repeat Customer
12347,8,4921.53,Repeat Customer
12348,5,1658.3999999999999,Repeat Customer
12349,3,3678.69,Repeat Customer
12350,1,294.40000000000003,Single Purchase
12351,1,300.93,Single Purchase
12352,9,1729.54,Repeat Customer
12353,2,406.76,Repeat Customer
12354,1,1079.4,Single Purchase
12355,2,947.61,Repeat Customer
12356,6,5611.7300000000005,Repeat Customer
12357,2,17437.66,Repeat Customer
12358,5,3447.07,Repeat Customer
12359,10,8873.39,Repeat Customer
12360,6,3612.89,Repeat Customer
12361,4,451.25,Repeat Customer
12362,10,4737.2300000000005,Repeat Customer
12363,2,552.0,Repeat Customer
12364,4,1208.1,Repeat Customer
12365,1,320.69,Single Purchase
12366,1,500.24,Single Purchase
12367,1,150.9,Single Purchase
12368,1,917.7,Single Purchase
12369,3,1511.15,Repeat Customer
12370,7,3956.56,Repeat Customer
12371,4,3347.38,Repeat Customer
12372,3,1196.04,Repeat Customer
12373,3,927.6500000000001,Repeat Customer
12374,3,2669.2200000000003,Repeat Customer
12375,2,377.5,Repeat Customer
12376,2,383.15,Repeat Customer
12377,4,3266.32,Repeat Customer
12378,2,5416.32,Repeat Customer
12379,4,1470.22,Repeat Customer
12380,8,7210.650000000001,Repeat Customer
12381,3,1474.81,Repeat Customer
12383,5,1628.56,Repeat Customer
12384,2,425.27,Repeat Customer
12385,1,1668.4,Single Purchase
12386,2,401.9,Repeat Customer
12387,1,143.94,Single Purchase
12388,8,3901.11,Repeat Customer
12389,3,1433.33,Repeat Customer
12390,1,504.84000000000003,Single Purchase
12391,6,2724.84,Repeat Customer
12392,1,234.75,Single Purchase
12393,6,2399.45,Repeat Customer
12394,2,1080.48,Repeat Customer
12395,15,4241.17,Repeat Customer
12396,1,931.4300000000001,Single Purchase
12397,2,2214.9,Repeat Customer
12398,1,1435.66,Single Purchase
12399,7,1842.3,Repeat Customer
12400,1,205.25,Single Purchase
12401,1,69.3,Single Purchase
12402,6,1136.9,Repeat Customer
12403,2,947.36,Repeat Customer
12405,1,1390.39,Single Purchase
12406,5,6390.36,Repeat Customer
12407,5,1507.12,Repeat Customer
12408,8,3905.77,Repeat Customer
12409,7,23419.29,Repeat Customer
12410,3,773.71,Repeat Customer
12411,1,346.9,Single Purchase
12412,6,2404.93,Repeat Customer
12413,4,871.45,Repeat Customer
12414,4,532.41,Repeat Customer
12415,24,144033.37,Repeat Customer
12416,1,202.56,Single Purchase
12417,20,5998.41,Repeat Customer
12418,4,2021.2,Repeat Customer
12419,2,391.01,Repeat Customer
12420,1,600.39,Single Purchase
12421,6,874.6,Repeat Customer
12422,12,3639.35,Repeat Customer
12423,10,2301.39,Repeat Customer
12424,4,3340.0299999999997,Repeat Customer
12425,2,1741.41,Repeat Customer
12426,2,1201.21,Repeat Customer
12427,3,699.8000000000001,Repeat Customer
12428,8,6405.26,Repeat Customer
12429,8,5842.41,Repeat Customer
12430,1,216.4,Single Purchase
12431,25,10102.220000000001,Repeat Customer
12432,4,4359.32,Repeat Customer
12433,10,16794.14,Repeat Customer
12434,3,1103.43,Repeat Customer
12435,6,13925.93,Repeat Customer
12436,1,429.01,Single Purchase
12437,38,11282.4,Repeat Customer
12438,2,2466.85,Repeat Customer
12439,2,1142.88,Repeat Customer
12440,2,739.2,Repeat Customer
12441,1,155.55,Single Purchase
12442,1,144.06,Single Purchase
12443,1,365.31,Single Purchase
12444,5,4085.46,Repeat Customer
12445,2,378.98,Repeat Customer
12446,1,1002.3100000000001,Single Purchase
12447,1,431.49,Single Purchase
12448,1,365.45,Single Purchase
12449,5,4274.89,Repeat Customer
12450,5,688.2,Repeat Customer
12451,8,12629.88,Repeat Customer
12452,1,348.57,Single Purchase
12453,1,707.09,Single Purchase
12454,4,16459.78,Repeat Customer
12455,9,5722.95,Repeat Customer
12456,3,2581.04,Repeat Customer
12457,7,2555.91,Repeat Customer
12458,4,1502.49,Repeat Customer
12459,1,398.36,Single Purchase
12460,1,296.65,Single Purchase
12461,1,626.88,Single Purchase
12462,2,937.59,Repeat Customer
12463,4,1200.78,Repeat Customer
12464,8,957.05,Repeat Customer
12465,2,682.19,Repeat Customer
12467,1,132.8,Single Purchase
12468,5,3238.7400000000002,Repeat Customer
12469,2,3070.54,Repeat Customer
12470,1,211.95,Single Purchase
12471,71,35099.9,Repeat Customer
12472,19,14971.29,Repeat Customer
12473,3,2585.73,Repeat Customer
12474,29,11310.75,Repeat Customer
12475,2,1065.64,Repeat Customer
12476,18,12319.91,Repeat Customer
12477,9,20276.37,Repeat Customer
12478,1,545.99,Single Purchase
12479,1,473.2,Single Purchase
12480,7,4834.85,Repeat Customer
12481,14,11033.51,Repeat Customer
12482,27,21941.72,Repeat Customer
12483,19,4069.1800000000003,Repeat Customer
12484,9,5557.1,Repeat Customer
12485,1,708.1,Single Purchase
12486,1,917.28,Single Purchase
12487,1,285.3,Single Purchase
12488,3,1244.66,Repeat Customer
12489,1,298.93,Single Purchase
12490,20,8764.64,Repeat Customer
12491,1,424.40000000000003,Single Purchase
12492,3,607.21,Repeat Customer
12493,2,379.74,Repeat Customer
12494,9,1563.27,Repeat Customer
12495,1,277.4,Single Purchase
12496,2,45.34,Repeat Customer
12497,3,5996.5,Repeat Customer
12498,3,349.70000000000005,Repeat Customer
12499,1,357.72,Single Purchase
12500,18,5559.21,Repeat Customer
12501,1,2025.39,Single Purchase
12502,5,2995.87,Repeat Customer
12503,1,896.0,Single Purchase
12504,4,689.05,Repeat Customer
12505,1,787.2,Single Purchase
12506,1,73.5,Single Purchase
12507,4,1508.06,Repeat Customer
12508,2,397.88,Repeat Customer
12509,1,158.5,Single Purchase
12510,7,3039.03,Repeat Customer
12511,1,3084.02,Single Purchase
12512,2,132.18,Repeat Customer
12513,1,558.29,Single Purchase
12514,2,1597.76,Repeat Customer
12515,1,278.7,Single Purchase
12516,4,2288.62,Repeat Customer
12517,4,2301.6,Repeat Customer
12518,5,1840.89,Repeat Customer
12519,2,626.54,Repeat Customer
12520,5,2346.26,Repeat Customer
12521,1,545.6800000000001,Single Purchase
12522,2,156.72,Repeat Customer
12523,23,4010.35,Repeat Customer
12524,17,9794.11,Repeat Customer
12525,3,883.73,Repeat Customer
12526,3,1172.66,Repeat Customer
12527,5,717.51,Repeat Customer
12528,6,1645.48,Repeat Customer
12529,1,316.48,Single Purchase
12530,9,3381.26,Repeat Customer
12531,2,1771.2,Repeat Customer
12532,1,313.83000000000004,Single Purchase
12533,2,1223.89,Repeat Customer
12534,1,981.18,Single Purchase
12535,2,716.35,Repeat Customer
12536,1,4279.71,Single Purchase
12537,1,612.94,Single Purchase
12538,2,640.45,Repeat Customer
12539,7,11186.75,Repeat Customer
12540,32,19250.49,Repeat Customer
12541,3,841.18,Repeat Customer
12542,2,481.88,Repeat Customer
12543,1,840.25,Single Purchase
12544,1,316.7,Single Purchase
12545,2,832.39,Repeat Customer
12546,2,1021.5,Repeat Customer
12547,3,299.58,Repeat Customer
12548,1,67.19999999999999,Single Purchase
12549,5,1570.68,Repeat Customer
12550,1,824.83,Single Purchase
12551,1,168.0,Single Purchase
12552,1,317.82,Single Purchase
12553,12,4104.75,Repeat Customer
12554,1,384.5,Single Purchase
12556,2,599.5600000000001,Repeat Customer
12557,8,18096.14,Repeat Customer
12558,1,269.96,Single Purchase
12559,2,525.71,Repeat Customer
12560,2,1918.01,Repeat Customer
12561,1,238.85,Single Purchase
12562,9,4426.92,Repeat Customer
12563,1,221.24,Single Purchase
12564,1,402.90000000000003,Single Purchase
12565,1,145.92000000000002,Single Purchase
12566,1,297.65,Single Purchase
12567,15,10741.48,Repeat Customer
12568,1,52.0,Single Purchase
12569,32,3152.69,Repeat Customer
12571,2,519.61,Repeat Customer
12572,2,912.4200000000001,Repeat Customer
12573,5,717.41,Repeat Customer
12574,1,182.45000000000002,Single Purchase
12575,2,568.82,Repeat Customer
12576,8,2062.7200000000003,Repeat Customer
12577,8,1613.1499999999999,Repeat Customer
12578,4,4026.4500000000003,Repeat Customer
12579,1,386.42,Single Purchase
12580,2,962.9,Repeat Customer
12581,1,179.71,Single Purchase
12582,4,1820.4,Repeat Customer
12583,27,12493.58,Repeat Customer
12584,9,2254.15,Repeat Customer
12585,2,1824.1,Repeat Customer
12586,4,2062.67,Repeat Customer
12587,1,104.0,Single Purchase
12588,3,718.78,Repeat Customer
12589,6,3294.91,Repeat Customer
12590,1,9341.26,Single Purchase
12591,3,1114.95,Repeat Customer
12592,4,1723.64,Repeat Customer
12593,3,382.1,Repeat Customer
12594,14,4890.110000000001,Repeat Customer
12595,1,281.02,Single Purchase
12596,2,450.27,Repeat Customer
12597,4,3195.22,Repeat Customer
12598,10,4192.09,Repeat Customer
12599,13,2026.72,Repeat Customer
12600,20,4385.85,Repeat Customer
12601,6,573.26,Repeat Customer
12602,1,153.12,Single Purchase
12603,1,613.1999999999999,Single Purchase
12604,2,236.18,Repeat Customer
12605,3,1124.95,Repeat Customer
12607,1,1579.51,Single Purchase
12608,1,415.79,Single Purchase
12609,9,3021.86,Repeat Customer
12610,4,1747.54,Repeat Customer
12611,1,1193.32,Single Purchase
12612,1,668.04,Single Purchase
12613,9,6277.37,Repeat Customer
12614,1,315.6,Single Purchase
12615,8,5362.9800000000005,Repeat Customer
12616,3,1023.1,Repeat Customer
12617,1,352.98,Single Purchase
12618,1,137.31,Single Purchase
12619,9,3085.7,Repeat Customer
12620,3,1303.41,Repeat Customer
12621,35,22097.2,Repeat Customer
12622,1,162.1,Single Purchase
12623,7,3315.84,Repeat Customer
12624,2,569.13,Repeat Customer
12625,4,4678.88,Repeat Customer
12626,9,5954.4800000000005,Repeat Customer
12627,6,4082.53,Repeat Customer
12628,3,732.46,Repeat Customer
12629,2,1198.22,Repeat Customer
12630,2,1030.88,Repeat Customer
12631,6,3321.57,Repeat Customer
12632,2,714.88,Repeat Customer
12633,7,5156.16,Repeat Customer
12634,1,360.0,Single Purchase
12635,4,2624.41,Repeat Customer
12637,12,8085.81,Repeat Customer
12638,2,681.49,Repeat Customer
12639,3,1072.3700000000001,Repeat Customer
12640,3,994.58,Repeat Customer
12641,1,145.9,Single Purchase
12642,3,905.26,Repeat Customer
12643,11,7803.82,Repeat Customer
12644,4,1900.49,Repeat Customer
12645,8,3215.3,Repeat Customer
12646,2,1346.97,Repeat Customer
12647,35,14109.55,Repeat Customer
12648,4,1039.0,Repeat Customer
12649,8,2096.65,Repeat Customer
12650,1,242.44,Single Purchase
12651,4,377.75,Repeat Customer
12652,2,891.0300000000001,Repeat Customer
12653,3,4160.83,Repeat Customer
12654,5,529.98,Repeat Customer
12655,1,243.35,Single Purchase
12656,8,5723.83,Repeat Customer
12657,4,1427.18,Repeat Customer
12658,1,632.05,Single Purchase
12659,1,73.67999999999999,Single Purchase
12660,1,227.10000000000002,Single Purchase
12661,1,162.0,Single Purchase
12662,20,6130.54,Repeat Customer
12663,2,185.4,Repeat Customer
12664,11,5420.04,Repeat Customer
12665,3,259.6,Repeat Customer
12666,1,1248.42,Single Purchase
12667,1,460.13,Single Purchase
12668,9,9906.03,Repeat Customer
12669,2,1427.73,Repeat Customer
12670,7,3436.29,Repeat Customer
12671,1,2622.481,Single Purchase
12672,2,407.05,Repeat Customer
12673,3,1140.02,Repeat Customer
12674,4,1844.6,Repeat Customer
12675,2,873.25,Repeat Customer
12676,10,2333.09,Repeat Customer
12677,2,359.1,Repeat Customer
12678,15,32595.18,Repeat Customer
12679,4,951.02,Repeat Customer
12680,4,790.81,Repeat Customer
12681,44,26936.760000000002,Repeat Customer
12682,51,20736.22,Repeat Customer
12683,20,10445.7,Repeat Customer
12684,6,2073.63,Repeat Customer
12685,6,2575.08,Repeat Customer
12686,1,71.14,Single Purchase
12687,1,1858.91,Single Purchase
12688,1,4873.81,Single Purchase
12689,2,1139.6100000000001,Repeat Customer
12690,1,335.01,Single Purchase
12691,6,1044.4,Repeat Customer
12692,1,110.95,Single Purchase
12693,7,1415.02,Repeat Customer
12694,3,1663.35,Repeat Customer
12695,7,1371.1200000000001,Repeat Customer
12696,2,731.91,Repeat Customer
12697,3,757.59,Repeat Customer
12698,1,285.75,Single Purchase
12699,1,566.11,Single Purchase
12700,4,4525.99,Repeat Customer
12701,6,2248.41,Repeat Customer
12702,1,201.0,Single Purchase
12703,4,898.53,Repeat Customer
12704,8,1740.84,Repeat Customer
12705,13,11114.1,Repeat Customer
12707,1,603.42,Single Purchase
12708,18,4559.66,Repeat Customer
12709,32,29487.18,Repeat Customer
12710,3,1023.02,Repeat Customer
12711,2,1213.05,Repeat Customer
12712,21,5985.03,Repeat Customer
12713,1,794.55,Single Purchase
12714,12,12815.710000000001,Repeat Customer
12715,1,263.36,Single Purchase
12716,2,963.49,Repeat Customer
12717,3,1058.91,Repeat Customer
12718,1,202.25,Single Purchase
12719,2,572.95,Repeat Customer
12720,29,6905.28,Repeat Customer
12721,8,3635.08,Repeat Customer
12722,4,979.63,Repeat Customer
12723,5,707.07,Repeat Customer
12724,7,2083.52,Repeat Customer
12725,3,1906.76,Repeat Customer
12726,11,3690.6,Repeat Customer
12727,10,4905.53,Repeat Customer
12728,5,926.17,Repeat Customer
12729,1,417.01,Single Purchase
12730,1,703.25,Single Purchase
12731,17,25631.71,Repeat Customer
12732,1,218.26,Single Purchase
12733,4,2424.02,Repeat Customer
12734,3,603.65,Repeat Customer
12735,2,689.5699999999999,Repeat Customer
12736,1,144.0,Single Purchase
12738,1,137.35,Single Purchase
12739,2,2421.23,Repeat Customer
12740,1,427.6,Single Purchase
12741,1,236.07,Single Purchase
12742,1,1201.52,Single Purchase
12743,2,540.13,Repeat Customer
12744,8,13158.16,Repeat Customer
12745,2,723.85,Repeat Customer
12746,1,254.55,Single Purchase
12747,26,8898.48,Repeat Customer
12748,322,49176.74,Repeat Customer
12749,9,6847.36,Repeat Customer
12750,1,275.88,Single Purchase
12751,1,268.27,Single Purchase
12752,1,4366.78,Single Purchase
12753,6,21429.39,Repeat Customer
12754,3,3010.7400000000002,Repeat Customer
12755,11,5236.26,Repeat Customer
12756,1,112.08,Single Purchase
12757,9,4176.75,Repeat Customer
12758,7,9903.24,Repeat Customer
12759,8,4618.74,Repeat Customer
12760,1,317.8,Single Purchase
12761,1,712.95,Single Purchase
12762,2,1702.52,Repeat Customer
12763,2,494.08,Repeat Customer
12764,1,1693.88,Single Purchase
12765,6,1299.58,Repeat Customer
12766,9,8134.99,Repeat Customer
12767,1,949.82,Single Purchase
12768,1,168.69,Single Purchase
12769,1,1143.6,Single Purchase
12770,2,3246.45,Repeat Customer
12771,1,226.29999999999998,Single Purchase
12772,1,752.47,Single Purchase
12773,1,124.25,Single Purchase
12774,1,83.7,Single Purchase
12775,7,1551.1200000000001,Repeat Customer
12776,1,27.5,Single Purchase
12777,1,519.45,Single Purchase
12778,9,1541.68,Repeat Customer
12779,14,6474.11,Repeat Customer
12780,1,322.4,Single Purchase
12781,2,786.74,Repeat Customer
12782,11,3862.2400000000002,Repeat Customer
12783,4,1295.8700000000001,Repeat Customer
12784,2,1511.15,Repeat Customer
12785,3,904.4,Repeat Customer
12786,1,668.5,Single Purchase
12787,4,799.1800000000001,Repeat Customer
12788,4,384.90000000000003,Repeat Customer
12789,3,225.35,Repeat Customer
12790,2,546.85,Repeat Customer
12791,5,656.83,Repeat Customer
12792,2,715.01,Repeat Customer
12793,3,745.53,Repeat Customer
12794,2,860.41,Repeat Customer
12795,1,318.48,Single Purchase
12796,1,351.0,Single Purchase
12797,2,468.08000000000004,Repeat Customer
12798,4,8510.93,Repeat Customer
12799,1,219.35,Single Purchase
12800,2,500.25,Repeat Customer
12801,1,871.82,Single Purchase
12802,5,2186.42,Repeat Customer
12803,1,1017.81,Single Purchase
12804,2,325.37,Repeat Customer
12805,4,1230.95,Repeat Customer
12806,2,2558.96,Repeat Customer
12807,1,250.35,Single Purchase
12808,5,748.7,Repeat Customer
12809,3,1384.34,Repeat Customer
12810,2,534.99,Repeat Customer
12811,4,893.9,Repeat Customer
12812,1,229.64000000000001,Single Purchase
12813,3,1621.8,Repeat Customer
12814,1,85.92,Single Purchase
12815,2,863.46,Repeat Customer
12816,2,452.2,Repeat Customer
12817,3,570.98,Repeat Customer
12818,1,1182.0800000000002,Single Purchase
12819,1,540.52,Single Purchase
12820,11,2689.52,Repeat Customer
12821,2,220.8,Repeat Customer
12822,2,948.88,Repeat Customer
12823,18,6501.5,Repeat Customer
12824,1,397.12,Single Purchase
12825,2,518.63,Repeat Customer
12826,12,2800.75,Repeat Customer
12827,3,430.15,Repeat Customer
12828,6,1018.71,Repeat Customer
12829,3,385.3,Repeat Customer
12830,6,6814.64,Repeat Customer
12831,3,451.11,Repeat Customer
12832,2,383.03000000000003,Repeat Customer
12833,1,417.38,Single Purchase
12834,1,312.38,Single Purchase
12835,41,5996.83,Repeat Customer
12836,15,6559.7300000000005,Repeat Customer
12837,2,662.66,Repeat Customer
12838,10,2975.91,Repeat Customer
12839,26,9669.12,Repeat Customer
12840,7,4041.9700000000003,Repeat Customer
12841,40,6958.2,Repeat Customer
12842,4,1917.99,Repeat Customer
12843,28,6461.87,Repeat Customer
12844,4,648.6,Repeat Customer
12845,4,354.09000000000003,Repeat Customer
12847,2,1609.0,Repeat Customer
12848,1,208.0,Single Purchase
12849,6,3015.98,Repeat Customer
12850,1,330.0,Single Purchase
12851,2,280.76,Repeat Customer
12852,1,311.55,Single Purchase
12853,11,3907.5,Repeat Customer
12854,7,2970.9700000000003,Repeat Customer
12855,4,612.84,Repeat Customer
12856,6,2170.78,Repeat Customer
12857,6,3688.0,Repeat Customer
12858,1,147.27,Single Purchase
12859,1,575.1,Single Purchase
12860,1,54.22,Single Purchase
12861,1,68.25,Single Purchase
12862,2,984.62,Repeat Customer
12863,6,2792.55,Repeat Customer
12864,2,299.57,Repeat Customer
12865,4,3323.4700000000003,Repeat Customer
12866,3,1092.35,Repeat Customer
12867,13,7829.26,Repeat Customer
12868,8,2043.76,Repeat Customer
12869,1,337.67,Single Purchase
12870,3,1676.95,Repeat Customer
12871,3,744.02,Repeat Customer
12872,12,3283.96,Repeat Customer
12873,3,2027.3,Repeat Customer
12874,2,873.42,Repeat Customer
12875,5,1356.9900000000002,Repeat Customer
12876,4,3751.79,Repeat Customer
12877,20,2942.1400000000003,Repeat Customer
12878,2,854.99,Repeat Customer
12879,3,573.22,Repeat Customer
12880,2,640.13,Repeat Customer
12881,1,298.0,Single Purchase
12882,2,1463.04,Repeat Customer
12883,4,703.47,Repeat Customer
12884,1,309.05,Single Purchase
12885,3,1175.22,Repeat Customer
12886,2,1378.4,Repeat Customer
12887,1,222.4,Single Purchase
12888,2,354.12,Repeat Customer
12889,4,385.46000000000004,Repeat Customer
12890,2,706.02,Repeat Customer
12891,11,840.5,Repeat Customer
12892,1,263.38,Single Purchase
12893,1,176.55,Single Purchase
12894,1,157.35,Single Purchase
12895,2,372.8,Repeat Customer
12897,4,514.25,Repeat Customer
12898,2,296.21,Repeat Customer
12899,1,366.4,Single Purchase
12900,1,340.33000000000004,Single Purchase
12901,28,17654.54,Repeat Customer
12902,1,138.68,Single Purchase
12903,1,833.5300000000001,Single Purchase
12904,2,496.06,Repeat Customer
12905,2,1018.42,Repeat Customer
12906,5,2919.81,Repeat Customer
12907,2,508.91,Repeat Customer
12908,5,1776.0,Repeat Customer
12909,8,3103.19,Repeat Customer
12910,13,5796.52,Repeat Customer
12911,1,1651.72,Single Purchase
12912,5,1662.3000000000002,Repeat Customer
12913,13,6283.24,Repeat Customer
12914,1,223.98,Single Purchase
12915,4,975.1,Repeat Customer
12916,7,4479.73,Repeat Customer
12917,6,4359.2,Repeat Customer
12919,6,1335.19,Repeat Customer
12920,4,486.64,Repeat Customer
12921,74,35233.24,Repeat Customer
12922,1,405.38,Single Purchase
12923,3,769.17,Repeat Customer
12924,12,2461.4500000000003,Repeat Customer
12925,3,729.33,Repeat Customer
12926,4,1523.59,Repeat Customer
12927,1,197.31,Single Purchase
12928,12,4304.89,Repeat Customer
12929,1,117.85,Single Purchase
12930,2,415.8,Repeat Customer
12931,57,92347.34,Repeat Customer
12932,8,1698.56,Repeat Customer
12933,8,1636.6299999999999,Repeat Customer
12934,1,181.65,Single Purchase
12935,15,4243.86,Repeat Customer
12936,4,1063.9,Repeat Customer
12937,9,3097.61,Repeat Customer
12938,1,114.14,Single Purchase
12939,20,25264.8,Repeat Customer
12940,2,899.6899999999999,Repeat Customer
12941,1,377.49,Single Purchase
12942,3,675.6,Repeat Customer
12943,2,496.5,Repeat Customer
12944,2,604.51,Repeat Customer
12945,2,900.11,Repeat Customer
12946,1,324.45,Single Purchase
12947,6,1603.99,Repeat Customer
12948,9,2317.43,Repeat Customer
12949,22,15526.7,Repeat Customer
12950,3,1843.0,Repeat Customer
12951,15,3213.7200000000003,Repeat Customer
12952,4,1387.79,Repeat Customer
12953,2,828.8100000000001,Repeat Customer
12954,1,162.45,Single Purchase
12955,11,4757.16,Repeat Customer
12956,4,521.89,Repeat Customer
12957,13,8706.97,Repeat Customer
12958,2,467.34000000000003,Repeat Customer
12959,1,150.95,Single Purchase
12960,4,1322.0700000000002,Repeat Customer
12961,1,211.98999999999998,Single Purchase
12962,2,266.39,Repeat Customer
12963,12,3235.79,Repeat Customer
12964,1,132.24,Single Purchase
12965,1,769.8100000000001,Single Purchase
12966,1,160.18,Single Purchase
12967,3,2938.52,Repeat Customer
12968,1,135.95,Single Purchase
12969,1,122.45,Single Purchase
12970,10,1452.54,Repeat Customer
12971,116,15704.6,Repeat Customer
12972,4,1161.2,Repeat Customer
12973,1,385.55,Single Purchase
12974,2,408.95,Repeat Customer
12975,6,2100.09,Repeat Customer
12976,8,3156.38,Repeat Customer
12977,4,513.88,Repeat Customer
12978,5,2502.82,Repeat Customer
12979,1,517.7,Single Purchase
12980,21,16245.78,Repeat Customer
12981,2,372.21999999999997,Repeat Customer
12982,8,2744.81,Repeat Customer
12983,1,490.08,Single Purchase
12984,1,97.5,Single Purchase
12985,2,1239.38,Repeat Customer
12986,10,2729.84,Repeat Customer
12987,5,1312.21,Repeat Customer
12988,1,505.82,Single Purchase
12989,33,13551.75,Repeat Customer
12990,7,955.5,Repeat Customer
12991,3,764.82,Repeat Customer
12992,1,93.35,Single Purchase
12993,8,1259.63,Repeat Customer
12994,3,974.42,Repeat Customer
12995,1,211.32,Single Purchase
12996,1,355.5,Single Purchase
12997,8,2110.91,Repeat Customer
12998,3,920.08,Repeat Customer
12999,3,455.88,Repeat Customer
13000,4,1032.5,Repeat Customer
13001,33,24042.65,Repeat Customer
13002,3,414.13,Repeat Customer
13003,3,149.05,Repeat Customer
13004,36,11650.85,Repeat Customer
13005,4,999.68,Repeat Customer
13006,1,81.57,Single Purchase
13007,1,175.25,Single Purchase
13008,3,612.13,Repeat Customer
13009,1,234.0,Single Purchase
13010,2,330.12,Repeat Customer
13011,1,50.550000000000004,Single Purchase
13012,11,2957.83,Repeat Customer
13013,29,11097.43,Repeat Customer
13014,11,5381.08,Repeat Customer
13015,11,6579.78,Repeat Customer
13016,3,789.89,Repeat Customer
13017,1,204.0,Single Purchase
13018,35,9763.16,Repeat Customer
13019,6,1229.95,Repeat Customer
13020,2,618.96,Repeat Customer
13021,17,4887.24,Repeat Customer
13022,1,50.3,Single Purchase
13023,3,1251.03,Repeat Customer
13024,2,555.87,Repeat Customer
13025,1,323.39,Single Purchase
13026,9,1733.08,Repeat Customer
13027,19,17239.2,Repeat Customer
13028,2,661.3199999999999,Repeat Customer
13029,5,1927.3,Repeat Customer
13030,2,752.44,Repeat Customer
13031,5,3292.84,Repeat Customer
13032,9,2815.96,Repeat Customer
13033,2,220.55,Repeat Customer
13034,3,756.82,Repeat Customer
13035,3,1364.2,Repeat Customer
13036,1,307.1,Single Purchase
13037,12,3914.9500000000003,Repeat Customer
13038,3,908.46,Repeat Customer
13039,4,1010.73,Repeat Customer
13040,2,676.99,Repeat Customer
13041,4,799.13,Repeat Customer
13042,3,1488.59,Repeat Customer
13043,1,516.42,Single Purchase
13044,11,4848.05,Repeat Customer
13045,3,808.9200000000001,Repeat Customer
13046,3,949.25,Repeat Customer
13047,23,8423.58,Repeat Customer
13048,9,4049.13,Repeat Customer
13049,4,1408.24,Repeat Customer
13050,34,11877.29,Repeat Customer
13051,2,155.8,Repeat Customer
13052,7,3118.48,Repeat Customer
13053,1,127.65,Single Purchase
13055,4,2321.11,Repeat Customer
13056,1,209.48000000000002,Single Purchase
13057,3,709.59,Repeat Customer
13058,3,271.4,Repeat Customer
13059,10,2291.77,Repeat Customer
13060,1,307.53000000000003,Single Purchase
13061,1,248.60999999999999,Single Purchase
13062,1,346.98,Single Purchase
13063,1,188.4,Single Purchase
13064,6,1666.84,Repeat Customer
13065,5,1055.05,Repeat Customer
13066,2,470.8,Repeat Customer
13067,3,508.51,Repeat Customer
13068,2,344.0,Repeat Customer
13069,38,9284.45,Repeat Customer
13070,4,751.7,Repeat Customer
13071,1,129.22,Single Purchase
13072,1,177.15,Single Purchase
13073,2,418.08,Repeat Customer
13074,4,1378.74,Repeat Customer
