customer_id,frequency,monetary,recency,R,F,M,RFM_Score,Segment
12346,12,77556.46,325,2,4,4,10,High-Value
12347,8,4921.53,1,4,4,4,12,High-Value
12348,5,1658.3999999999999,74,3,3,3,9,High-Value
12349,3,3678.69,18,4,2,4,10,High-Value
12350,1,294.40000000000003,309,2,1,1,4,One-Time
12351,1,300.93,374,2,1,1,4,One-Time
12352,9,1729.54,35,3,4,3,10,High-Value
12353,2,406.76,203,2,2,2,6,Other
12354,1,1079.4,231,2,1,3,6,Other
12355,2,947.61,213,2,2,3,7,Other
12356,6,5611.7300000000005,22,4,3,4,11,High-Value
12357,2,17437.66,32,3,2,4,9,High-Value
12358,5,3447.07,1,4,3,4,11,High-Value
12359,10,8873.39,57,3,4,4,11,High-Value
12360,6,3612.89,51,3,3,4,10,High-Value
12361,4,451.25,286,2,3,2,7,Other
12362,10,4737.2300000000005,2,4,4,4,12,High-Value
12363,2,552.0,109,2,2,2,6,Other
12364,4,1208.1,7,4,3,3,10,High-Value
12365,1,320.69,290,2,1,1,4,One-Time
12366,1,500.24,633,1,1,2,4,At-Risk
12367,1,150.9,3,4,1,1,6,One-Time
12368,1,917.7,627,1,1,3,5,At-Risk
12369,3,1511.15,412,1,2,3,6,At-Risk
12370,7,3956.56,50,3,3,4,10,High-Value
12371,4,3347.38,59,3,3,4,10,High-Value
12372,3,1196.04,71,3,2,3,8,Other
12373,3,927.6500000000001,310,2,2,3,7,Other
12374,3,2669.2200000000003,24,4,2,4,10,High-Value
12375,2,377.5,10,4,2,2,8,Other
12376,2,383.15,389,1,2,2,5,At-Risk
12377,4,3266.32,314,2,3,4,9,High-Value
12378,2,5416.32,129,2,2,4,8,Other
12379,4,1470.22,81,3,3,3,9,High-Value
12380,8,7210.650000000001,21,4,4,4,12,High-Value
12381,3,1474.81,4,4,2,3,9,High-Value
12383,5,1628.56,184,2,3,3,8,Other
12384,2,425.27,28,3,2,2,7,Other
12385,1,1668.4,378,2,1,3,6,Other
12386,2,401.9,337,2,2,2,6,Other
12387,1,143.94,414,1,1,1,3,At-Risk
12388,8,3901.11,15,4,4,4,12,High-Value
12389,3,1433.33,402,1,2,3,6,At-Risk
12390,1,504.84000000000003,79,3,1,2,6,Other
12391,6,2724.84,21,4,3,4,11,High-Value
12392,1,234.75,590,1,1,1,3,At-Risk
12393,6,2399.45,71,3,3,4,10,High-Value
12394,2,1080.48,63,3,2,3,8,Other
12395,15,4241.17,18,4,4,4,12,High-Value
12396,1,931.4300000000001,673,1,1,3,5,At-Risk
12397,2,2214.9,35,3,2,3,8,Other
12398,1,1435.66,45,3,1,3,7,Other
12399,7,1842.3,118,2,3,3,8,Other
12400,1,205.25,413,1,1,1,3,At-Risk
12401,1,69.3,302,2,1,1,4,One-Time
12402,6,1136.9,322,2,3,3,8,Other
12403,2,947.36,49,3,2,3,8,Other
12405,1,1390.39,148,2,1,3,6,Other
12406,5,6390.36,21,4,3,4,11,High-Value
12407,5,1507.12,49,3,3,3,9,High-Value
12408,8,3905.77,32,3,4,4,11,High-Value
12409,7,23419.29,78,3,3,4,10,High-Value
12410,3,773.71,308,2,2,2,6,Other
12411,1,346.9,409,1,1,2,4,At-Risk
12412,6,2404.93,74,3,3,4,10,High-Value
12413,4,871.45,66,3,3,3,9,High-Value
12414,4,532.41,216,2,3,2,7,Other
12415,24,144033.37,23,4,4,4,12,High-Value
12416,1,202.56,656,1,1,1,3,At-Risk
12417,20,5998.41,2,4,4,4,12,High-Value
12418,4,2021.2,112,2,3,3,8,Other
12419,2,391.01,385,1,2,2,5,At-Risk
12420,1,600.39,63,3,1,2,6,Other
12421,6,874.6,15,4,3,3,10,High-Value
12422,12,3639.35,95,2,4,4,10,High-Value
12423,10,2301.39,0,4,4,4,12,High-Value
12424,4,3340.0299999999997,162,2,3,4,9,High-Value
12425,2,1741.41,77,3,2,3,8,Other
12426,2,1201.21,194,2,2,3,7,Other
12427,3,699.8000000000001,21,4,2,2,8,Other
12428,8,6405.26,25,3,4,4,11,High-Value
12429,8,5842.41,8,4,4,4,12,High-Value
12430,1,216.4,42,3,1,1,5,One-Time
12431,25,10102.220000000001,35,3,4,4,11,High-Value
12432,4,4359.32,42,3,3,4,10,High-Value
12433,10,16794.14,0,4,4,4,12,High-Value
12434,3,1103.43,84,3,2,3,8,Other
12435,6,13925.93,79,3,3,4,10,High-Value
12436,1,429.01,99,2,1,2,5,Other
12437,38,11282.4,1,4,4,4,12,High-Value
12438,2,2466.85,13,4,2,4,10,High-Value
12439,2,1142.88,682,1,2,3,6,At-Risk
12440,2,739.2,461,1,2,2,5,At-Risk
12441,1,155.55,366,2,1,1,4,One-Time
12442,1,144.06,2,4,1,1,6,One-Time
12443,1,365.31,731,1,1,2,4,At-Risk
12444,5,4085.46,20,4,3,4,11,High-Value
12445,2,378.98,21,4,2,2,8,Other
12446,1,1002.3100000000001,57,3,1,3,7,Other
12447,1,431.49,242,2,1,2,5,Other
12448,1,365.45,43,3,1,2,6,Other
12449,5,4274.89,21,4,3,4,11,High-Value
12450,5,688.2,155,2,3,2,7,Other
12451,8,12629.88,10,4,4,4,12,High-Value
12452,1,348.57,16,4,1,2,7,Other
12453,1,707.09,133,2,1,2,5,Other
12454,4,16459.78,55,3,3,4,10,High-Value
12455,9,5722.95,72,3,4,4,11,High-Value
12456,3,2581.04,43,3,2,4,9,High-Value
12457,7,2555.91,65,3,3,4,10,High-Value
12458,4,1502.49,70,3,3,3,9,High-Value
12459,1,398.36,604,1,1,2,4,At-Risk
12460,1,296.65,455,1,1,1,3,At-Risk
12461,1,626.88,154,2,1,2,5,Other
12462,2,937.59,18,4,2,3,9,High-Value
12463,4,1200.78,52,3,3,3,9,High-Value
12464,8,957.05,9,4,4,3,11,High-Value
12465,2,682.19,16,4,2,2,8,Other
12467,1,132.8,422,1,1,1,3,At-Risk
12468,5,3238.7400000000002,187,2,3,4,9,High-Value
12469,2,3070.54,522,1,2,4,7,At-Risk
12470,1,211.95,689,1,1,1,3,At-Risk
12471,71,35099.9,1,4,4,4,12,High-Value
12472,19,14971.29,31,3,4,4,11,High-Value
12473,3,2585.73,53,3,2,4,9,High-Value
12474,29,11310.75,16,4,4,4,12,High-Value
