country,num_customers,num_invoices,total_revenue,avg_invoices_per_customer,avg_revenue_per_customer
"united kingdom",5334,33374,14289730.55,6.26,2678.99
eire,3,528,586626.08,176.00,195542.03
netherlands,22,216,549773.41,9.82,24989.70
germany,106,752,383191.95,7.09,3615.02
france,93,592,309685.56,6.37,3329.95
australia,14,87,168452.79,6.21,12032.34
spain,35,137,96399.08,3.91,2754.26
switzerland,22,90,95543.29,4.09,4342.88
sweden,19,98,86045.14,5.16,4528.69
denmark,9,40,66133.87,4.44,7348.21
belgium,28,144,56787.90,5.14,2028.14
portugal,23,83,46609.52,3.61,2026.50
"channel islands",13,54,44030.33,4.15,3386.95
japan,10,33,43023.91,3.30,4302.39
norway,12,39,38575.36,3.25,3214.61
italy,17,59,28937.50,3.47,1702.21
cyprus,10,41,25439.34,4.10,2543.93
finland,13,54,25180.10,4.15,1936.93
austria,11,35,19223.21,3.18,1747.56
greece,5,18,18711.19,3.60,3742.24
singapore,1,8,13158.16,8.00,13158.16
israel,4,7,10415.24,1.75,2603.81
poland,6,28,10214.29,4.67,1702.38
"united arab emirates",4,9,8897.19,2.25,2224.30
unspecified,6,16,8607.35,2.67,1434.56
usa,8,16,7920.01,2.00,990.00
iceland,1,8,4921.53,8.00,4921.53
lithuania,1,6,4892.68,6.00,4892.68
malta,2,7,4757.34,3.50,2378.67
canada,5,7,4332.10,1.40,866.42
thailand,1,2,3070.54,2.00,3070.54
rsa,2,2,1933.74,1.00,966.87
lebanon,1,1,1693.88,1.00,1693.88
brazil,2,2,1411.87,1.00,705.94
bahrain,2,4,1354.37,2.00,677.19
"european community",1,3,1159.25,3.00,1159.25
korea,2,2,1118.51,1.00,559.26
"czech republic",1,2,786.74,2.00,786.74
"west indies",1,1,536.41,1.00,536.41
"saudi arabia",1,1,145.92,1.00,145.92
nigeria,1,1,112.57,1.00,112.57
