customer_id,last_purchase,frequency,monetary,recency
18102,"2011-12-09 11:50:00",145,580987.04,0
14646,"2011-12-08 12:12:00",145,526751.52,1
14156,"2011-11-30 10:54:00",144,303069.88,9
14911,"2011-12-08 15:54:00",373,272252.79,1
17450,"2011-12-01 13:29:00",51,244784.25,8
13694,"2011-12-06 09:32:00",143,195640.69,3
17511,"2011-12-07 10:12:00",60,172132.87,2
16446,"2011-12-09 09:15:00",2,168472.50,0
16684,"2011-12-05 14:06:00",55,147142.77,4
12415,"2011-11-15 14:22:00",24,144033.37,24
15061,"2011-12-06 12:06:00",127,126387.57,3
15311,"2011-12-09 12:00:00",207,114671.42,0
13089,"2011-12-07 09:02:00",203,113416.91,2
16029,"2011-11-01 10:27:00",106,109620.87,38
17949,"2011-12-08 18:46:00",116,107833.48,1
12931,"2011-11-18 12:39:00",57,92347.34,21
14298,"2011-12-01 13:12:00",82,91194.49,8
15769,"2011-12-02 13:52:00",46,88612.52,7
12346,"2011-01-18 10:01:00",12,77556.46,325
13798,"2011-12-08 15:51:00",110,75428.87,1
15838,"2011-11-28 14:00:00",34,73205.50,11
17841,"2011-12-08 12:07:00",211,68519.95,1
16754,"2010-12-02 17:38:00",29,65500.07,372
14088,"2011-11-29 16:16:00",16,64036.80,10
16422,"2011-11-22 14:00:00",108,61728.87,17
17389,"2011-12-09 09:38:00",61,57215.33,0
13081,"2011-11-28 10:54:00",28,56838.37,11
16013,"2011-12-06 10:36:00",84,56078.44,3
14680,"2011-11-14 16:59:00",58,55688.50,25
13093,"2011-03-09 12:14:00",55,54144.25,275
14096,"2011-12-05 17:17:00",17,53258.43,4
17850,"2010-12-02 15:27:00",155,51208.87,372
13408,"2011-12-08 09:05:00",106,50174.78,1
13777,"2011-12-09 12:25:00",61,49638.26,0
12748,"2011-12-09 12:20:00",322,49176.74,0
17404,"2011-12-05 16:26:00",21,47638.12,4
13881,"2011-12-06 12:50:00",43,45179.10,3
15749,"2011-04-18 13:20:00",3,44534.30,235
16705,"2011-12-09 12:08:00",42,43515.05,0
15098,"2011-06-10 15:33:00",3,39916.50,182
15039,"2011-11-30 11:31:00",93,39141.48,9
14031,"2011-12-02 17:13:00",44,39019.51,7
17675,"2011-12-08 18:03:00",70,37642.48,1
17381,"2011-12-01 11:59:00",38,36398.65,8
12921,"2011-11-30 16:22:00",74,35233.24,9
12471,"2011-12-07 15:43:00",71,35099.90,2
17677,"2011-12-08 09:56:00",54,35058.46,1
13902,"2010-03-17 13:09:00",5,34023.26,632
13767,"2011-12-07 15:00:00",73,33903.57,2
16210,"2011-12-08 12:36:00",33,33730.97,1
16779,"2011-12-07 14:54:00",53,32809.03,2
12678,"2011-10-28 13:04:00",15,32595.18,42
15856,"2011-12-05 17:09:00",52,32274.69,4
14258,"2011-11-30 15:27:00",25,32051.34,9
17428,"2011-12-09 09:45:00",45,31466.76,0
14606,"2011-12-08 19:28:00",184,29648.75,1
12709,"2011-11-24 15:38:00",32,29487.18,15
13078,"2011-12-06 15:36:00",57,29018.06,3
13098,"2011-12-08 14:14:00",28,28882.44,1
17940,"2011-10-21 13:27:00",14,28389.58,49
14527,"2011-12-07 12:19:00",121,27191.10,2
12681,"2011-11-25 11:33:00",44,26936.76,14
16333,"2011-12-02 12:19:00",22,26626.80,7
15513,"2011-11-06 14:36:00",35,26437.05,33
17865,"2011-11-09 12:08:00",46,26310.09,30
18251,"2011-09-13 15:03:00",9,26278.86,87
13802,"2011-07-24 10:54:00",19,26259.11,138
17857,"2011-12-05 13:13:00",23,25769.54,4
12731,"2011-11-16 11:59:00",17,25631.71,23
14062,"2011-11-30 10:04:00",24,25585.65,9
