invoice_month,monthly_revenue,monthly_invoices,avg_revenue_per_invoice
2009-12,678029.57,1502,451.42
2010-01,533802.98,963,554.31
2010-02,497937.58,1093,455.57
2010-03,665973.67,1509,441.33
2010-04,585149.93,1316,444.64
2010-05,592734.13,1365,434.24
2010-06,629540.45,1482,424.79
2010-07,581487.96,1362,426.94
2010-08,594561.17,1276,465.96
2010-09,805544.81,1659,485.56
2010-10,1011571.5,2108,479.87
2010-11,1155978.39,2570,449.8
2010-12,565199.56,1394,405.45
2011-01,562682.91,983,572.41
2011-02,442293.59,992,445.86
2011-03,583143.85,1312,444.47
2011-04,454440.88,1139,398.98
2011-05,659242.49,1544,426.97
2011-06,653264.92,1390,469.97
2011-07,591603.79,1321,447.85
2011-08,635514.38,1267,501.59
2011-09,938752.63,1739,539.82
2011-10,1002326.56,1903,526.71
2011-11,1136534.0,2642,430.18
2011-12,512228.08,776,660.09
