customer_id,num_orders,total_spent,avg_order_value
14911,373,272252.79,729.9
12748,322,49176.74,152.72
17841,211,68519.95,324.74
15311,207,114671.42,553.97
13089,203,113416.91,558.7
14606,184,29648.75,161.13
17850,155,51208.87,330.38
18102,145,580987.04,4006.81
14646,145,526751.52,3632.77
14156,144,303069.88,2104.65
13694,143,195640.69,1368.12
15061,127,126387.57,995.18
14527,121,27191.1,224.72
17949,116,107833.48,929.6
12971,116,15704.6,135.38
13798,110,75428.87,685.72
16422,108,61728.87,571.56
16029,106,109620.87,1034.16
13408,106,50174.78,473.35
17961,100,2866.74,28.67
15039,93,39141.48,420.88
16013,84,56078.44,667.6
14298,82,91194.49,1112.13
17377,78,17639.23,226.14
12921,74,35233.24,476.12
13767,73,33903.57,464.43
13468,72,12793.28,177.68
12471,71,35099.9,494.36
17675,70,37642.48,537.75
17243,69,20184.68,292.53
16168,66,10360.67,156.98
13199,66,15949.21,241.65
17389,61,57215.33,937.96
13777,61,49638.26,813.74
17511,60,172132.87,2868.88
14680,58,55688.5,960.15
13319,58,21323.22,367.64
13078,57,29018.06,509.09
12931,57,92347.34,1620.13
17757,56,9070.1,161.97
16133,56,22992.26,410.58
15005,56,13752.58,245.58
16684,55,147142.77,2675.32
14735,55,12225.16,222.28
13093,55,54144.25,984.44
17920,54,23569.88,436.48
17677,54,35058.46,649.23
14667,54,20359.59,377.03
16779,53,32809.03,619.04
18172,52,17467.24,335.91
15856,52,32274.69,620.67
15078,52,17276.73,332.24
17450,51,244784.25,4799.69
12682,51,20736.22,406.59
16525,48,24151.3,503.15
17811,47,9513.1,202.41
17068,47,8980.18,191.07
15615,47,21373.97,454.77
17865,46,26310.09,571.96
15769,46,88612.52,1926.36
15189,46,17524.38,380.96
17428,45,31466.76,699.26
16839,44,21758.25,494.51
15498,44,24972.86,567.57
14560,44,6114.03,138.96
14031,44,39019.51,886.81
12681,44,26936.76,612.2
17581,43,17951.17,417.47
16161,43,12580.06,292.56
14849,43,15407.61,358.32
13881,43,45179.1,1050.68
16746,42,18045.05,429.64
16705,42,43515.05,1036.07
15358,42,16425.86,391.09
17576,41,8705.6,212.33
17448,41,14448.67,352.41
17315,41,9559.5,233.16
15738,41,13043.32,318.13
12835,41,5996.83,146.26
12841,40,6958.2,173.95
15291,39,13472.76,345.46
14543,39,14548.22,373.03
13854,39,11944.56,306.27
18109,38,9555.71,251.47
18041,38,8018.77,211.02
17381,38,36398.65,957.86
16782,38,9636.12,253.58
16558,38,13304.11,350.11
16353,38,9795.46,257.78
14895,38,25119.54,661.04
13263,38,8650.98,227.66
13069,38,9284.45,244.33
12437,38,11282.4,296.91
14051,37,21770.98,588.4
13113,37,18230.07,492.7
13102,37,11380.1,307.57
16814,36,11914.95,330.97
15555,36,11233.78,312.05
14194,36,18670.59,518.63
13564,36,15880.22,441.12
13267,36,9429.81,261.94
13004,36,11650.85,323.63
16843,35,19571.43,559.18
15513,35,26437.05,755.34
14040,35,12523.81,357.82
13969,35,12973.46,370.67
13668,35,12948.48,369.96
13534,35,7720.9,220.6
13018,35,9763.16,278.95
12647,35,14109.55,403.13
12621,35,22097.2,631.35
16549,34,12781.8,375.94
15838,34,73205.5,2153.1
15768,34,15308.89,450.26
15581,34,4505.16,132.5
15159,34,22116.73,650.49
13050,34,11877.29,349.33
16945,33,8548.16,259.04
16553,33,16584.01,502.55
16210,33,33730.97,1022.15
14180,33,6117.5,185.38
14110,33,12987.95,393.57
13599,33,9811.04,297.3
13001,33,24042.65,728.57
12989,33,13551.75,410.66
17238,32,7331.17,229.1
16923,32,13157.13,411.16
16713,32,14115.56,441.11
15465,32,12100.4,378.14
15044,32,15769.01,492.78
14952,32,17629.35,550.92
14085,32,9705.67,303.3
12709,32,29487.18,921.47
12569,32,3152.69,98.52
12540,32,19250.49,601.58
17706,31,20272.15,653.94
15867,31,8869.87,286.12
15719,31,10194.32,328.85
13418,31,11559.66,372.89
17858,30,12518.65,417.29
17848,30,3538.46,117.95
16656,30,16833.17,561.11
16458,30,5690.89,189.7
15984,30,8393.02,279.77
15805,30,10148.93,338.3
15601,30,14191.74,473.06
14060,30,8898.24,296.61
13230,30,6109.51,203.65
18118,29,6218.62,214.44
17965,29,7002.9,241.48
17017,29,12576.99,433.69
16754,29,65500.07,2258.62
16011,29,5599.31,193.08
15640,29,23459.51,808.95
15144,29,12160.31,419.32
