customer_id,total_spent,num_orders,avg_order_value
18102,580987.04,145,4006.81
14646,526751.52,145,3632.77
14156,303069.88,144,2104.65
14911,272252.79,373,729.9
17450,244784.25,51,4799.69
13694,195640.69,143,1368.12
17511,172132.87,60,2868.88
16446,168472.5,2,84236.25
16684,147142.77,55,2675.32
12415,144033.37,24,6001.39
15061,126387.57,127,995.18
15311,114671.42,207,553.97
13089,113416.91,203,558.7
16029,109620.87,106,1034.16
17949,107833.48,116,929.6
12931,92347.34,57,1620.13
14298,91194.49,82,1112.13
15769,88612.52,46,1926.36
12346,77556.46,12,6463.04
13798,75428.87,110,685.72
15838,73205.5,34,2153.1
17841,68519.95,211,324.74
16754,65500.07,29,2258.62
14088,64036.8,16,4002.3
16422,61728.87,108,571.56
17389,57215.33,61,937.96
13081,56838.37,28,2029.94
16013,56078.44,84,667.6
14680,55688.5,58,960.15
13093,54144.25,55,984.44
14096,53258.43,17,3132.85
17850,51208.87,155,330.38
13408,50174.78,106,473.35
13777,49638.26,61,813.74
12748,49176.74,322,152.72
17404,47638.12,21,2268.48
13881,45179.1,43,1050.68
15749,44534.3,3,14844.77
16705,43515.05,42,1036.07
15098,39916.5,3,13305.5
15039,39141.48,93,420.88
14031,39019.51,44,886.81
17675,37642.48,70,537.75
17381,36398.65,38,957.86
12921,35233.24,74,476.12
12471,35099.9,71,494.36
17677,35058.46,54,649.23
13902,34023.26,5,6804.65
13767,33903.57,73,464.43
16210,33730.97,33,1022.15
16779,32809.03,53,619.04
12678,32595.18,15,2173.01
15856,32274.69,52,620.67
14258,32051.34,25,1282.05
17428,31466.76,45,699.26
14606,29648.75,184,161.13
12709,29487.18,32,921.47
13078,29018.06,57,509.09
13098,28882.44,28,1031.52
17940,28389.58,14,2027.83
14527,27191.1,121,224.72
12681,26936.76,44,612.2
16333,26626.8,22,1210.31
15513,26437.05,35,755.34
17865,26310.09,46,571.96
18251,26278.86,9,2919.87
13802,26259.11,19,1382.06
17857,25769.54,23,1120.41
12731,25631.71,17,1507.75
14062,25585.65,24,1066.07
12939,25264.8,20,1263.24
14895,25119.54,38,661.04
15498,24972.86,44,567.57
16525,24151.3,48,503.15
13001,24042.65,33,728.57
17920,23569.88,54,436.48
15640,23459.51,29,808.95
12409,23419.29,7,3345.61
16133,22992.26,56,410.58
14607,22575.13,20,1128.76
15159,22116.73,34,650.49
13340,22100.56,12,1841.71
12621,22097.2,35,631.35
12482,21941.72,27,812.66
14051,21770.98,37,588.4
16839,21758.25,44,494.51
12753,21429.39,6,3571.57
15615,21373.97,47,454.77
13319,21323.22,58,367.64
12682,20736.22,51,406.59
14866,20700.04,17,1217.65
14667,20359.59,54,377.03
15251,20324.54,21,967.84
12477,20276.37,9,2252.93
17706,20272.15,31,653.94
17243,20184.68,69,292.53
18008,19759.08,23,859.09
17340,19617.95,18,1089.89
16843,19571.43,35,559.18
17139,19566.76,25,782.67
12540,19250.49,32,601.58
14194,18670.59,36,518.63
13113,18230.07,37,492.7
12557,18096.14,8,2262.02
16746,18045.05,42,429.64
17581,17951.17,43,417.47
