customer_id,last_purchase,frequency,monetary,recency,R,F,M,RFM_Score,Segment
12346,2011-01-18 10:01:00,12,77556.46,324,2,4,4,10,High-Value
12347,2011-12-07 15:52:00,8,4921.53,1,4,4,4,12,High-Value
12348,2011-09-25 13:13:00,5,1658.4,74,3,3,3,9,High-Value
12349,2011-11-21 09:51:00,3,3678.69,17,4,2,4,10,High-Value
12350,2011-02-02 16:01:00,1,294.4,309,2,1,1,4,One-Time
12351,2010-11-29 15:23:00,1,300.93,374,2,1,1,4,One-Time
12352,2011-11-03 14:37:00,9,1729.54,35,3,4,3,10,High-Value
12353,2011-05-19 17:47:00,2,406.76,203,2,2,2,6,Other
12354,2011-04-21 13:11:00,1,1079.4,231,2,1,3,6,Other
12355,2011-05-09 13:49:00,2,947.61,213,2,2,3,7,Other
12356,2011-11-17 08:40:00,6,5611.73,21,4,3,4,11,High-Value
12357,2011-11-06 16:07:00,2,17437.66,32,3,2,4,9,High-Value
12358,2011-12-08 10:26:00,5,3447.07,0,4,3,4,11,High-Value
12359,2011-10-13 12:47:00,10,8873.39,56,3,4,4,11,High-Value
12360,2011-10-18 15:22:00,6,3612.89,51,3,3,4,10,High-Value
12361,2011-02-25 13:51:00,4,451.25,286,2,3,2,7,Other
12362,2011-12-06 15:40:00,10,4737.23,2,4,4,4,12,High-Value
12363,2011-08-22 10:18:00,2,552.0,108,2,2,2,6,Other
12364,2011-12-02 10:22:00,4,1208.1,6,4,3,3,10,High-Value
12365,2011-02-21 13:51:00,1,320.69,290,2,1,1,4,One-Time
12366,2010-03-16 10:28:00,1,500.24,632,1,1,2,4,At-Risk
12367,2011-12-05 16:48:00,1,150.9,3,4,1,1,6,One-Time
12368,2010-03-21 15:56:00,1,917.7,627,1,1,3,5,At-Risk
12369,2010-10-22 13:13:00,3,1511.15,412,1,2,3,6,At-Risk
12370,2011-10-19 14:51:00,7,3956.56,50,3,3,4,10,High-Value
12371,2011-10-11 10:43:00,4,3347.38,58,3,3,4,10,High-Value
12372,2011-09-29 12:12:00,3,1196.04,70,3,2,3,8,Other
12373,2011-02-01 13:10:00,3,927.65,310,2,2,3,7,Other
12374,2011-11-14 15:37:00,3,2669.22,24,4,2,4,10,High-Value
12375,2011-11-29 10:36:00,2,377.5,9,4,2,2,8,Other
12376,2010-11-15 12:15:00,2,383.15,388,1,2,2,5,At-Risk
12377,2011-01-28 15:45:00,4,3266.32,314,2,3,4,9,High-Value
12378,2011-08-02 10:34:00,2,5416.32,128,2,2,4,8,Other
12379,2011-09-19 10:09:00,4,1470.22,80,3,3,3,9,High-Value
12380,2011-11-18 11:27:00,8,7210.65,20,4,4,4,12,High-Value
12381,2011-12-05 12:44:00,3,1474.81,3,4,2,3,9,High-Value
12383,2011-06-08 08:02:00,5,1628.56,183,2,3,3,8,Other
12384,2011-11-11 08:39:00,2,425.27,27,3,2,2,7,Other
12385,2010-11-25 15:14:00,1,1668.4,378,2,1,3,6,Other
12386,2011-01-06 12:37:00,2,401.9,336,2,2,2,6,Other
12387,2010-10-20 16:27:00,1,143.94,414,1,1,1,3,At-Risk
12388,2011-11-24 12:30:00,8,3901.11,14,4,4,4,12,High-Value
12389,2010-11-02 11:52:00,3,1433.33,401,1,2,3,6,At-Risk
12390,2011-09-21 09:33:00,1,504.84,78,3,1,2,6,Other
12391,2011-11-18 12:07:00,6,2724.84,20,4,3,4,11,High-Value
12392,2010-04-27 14:04:00,1,234.75,590,1,1,1,3,At-Risk
12393,2011-09-28 15:41:00,6,2399.45,71,3,3,4,10,High-Value
12394,2011-10-07 08:08:00,2,1080.48,62,3,2,3,8,Other
12395,2011-11-20 15:21:00,15,4241.17,18,4,4,4,12,High-Value
12396,2010-02-03 13:22:00,1,931.43,673,1,1,3,5,At-Risk
12397,2011-11-04 09:52:00,2,2214.9,34,3,2,3,8,Other
12398,2011-10-25 10:27:00,1,1435.66,44,3,1,3,7,Other
12399,2011-08-12 13:15:00,7,1842.3,118,2,3,3,8,Other
12400,2010-10-21 13:45:00,1,205.25,413,1,1,1,3,At-Risk
12401,2011-02-09 13:50:00,1,69.3,302,2,1,1,4,One-Time
12402,2011-01-20 13:49:00,6,1136.9,322,2,3,3,8,Other
12403,2011-10-21 10:51:00,2,947.36,48,3,2,3,8,Other
12405,2011-07-14 08:52:00,1,1390.39,147,2,1,3,6,Other
12406,2011-11-17 19:22:00,5,6390.36,21,4,3,4,11,High-Value
12407,2011-10-21 10:11:00,5,1507.12,48,3,3,3,9,High-Value
12408,2011-11-07 12:27:00,8,3905.77,31,3,4,4,11,High-Value
12409,2011-09-22 10:38:00,7,23419.29,77,3,3,4,10,High-Value
12410,2011-02-04 10:39:00,3,773.71,307,2,2,2,6,Other
12411,2010-10-26 09:25:00,1,346.9,408,1,1,2,4,At-Risk
12412,2011-09-26 10:16:00,6,2404.93,73,3,3,4,10,High-Value
12413,2011-10-04 09:00:00,4,871.45,65,3,3,3,9,High-Value
12414,2011-05-06 14:51:00,4,532.41,216,2,3,2,7,Other
12415,2011-11-15 14:22:00,24,144033.37,23,4,4,4,12,High-Value
12416,2010-02-21 10:19:00,1,202.56,655,1,1,1,3,At-Risk
12417,2011-12-06 14:52:00,20,5998.41,2,4,4,4,12,High-Value
12418,2011-08-19 11:08:00,4,2021.2,111,2,3,3,8,Other
12419,2010-11-19 10:04:00,2,391.01,384,1,2,2,5,At-Risk
12420,2011-10-07 08:55:00,1,600.39,62,3,1,2,6,Other
12421,2011-11-24 09:07:00,6,874.6,14,4,3,3,10,High-Value
12422,2011-09-05 09:48:00,12,3639.35,94,3,4,4,11,High-Value
12423,2011-12-09 10:10:00,10,2301.39,-1,4,4,4,12,High-Value
12424,2011-06-30 12:06:00,4,3340.03,161,2,3,4,9,High-Value
12425,2011-09-22 17:31:00,2,1741.41,77,3,2,3,8,Other
12426,2011-05-29 12:26:00,2,1201.21,193,2,2,3,7,Other
12427,2011-11-18 08:56:00,3,699.8,20,4,2,2,8,Other
12428,2011-11-14 08:22:00,8,6405.26,24,4,4,4,12,High-Value
12429,2011-11-30 17:22:00,8,5842.41,8,4,4,4,12,High-Value
12430,2011-10-27 15:09:00,1,216.4,42,3,1,1,5,One-Time
12431,2011-11-04 11:55:00,25,10102.22,34,3,4,4,11,High-Value
12432,2011-10-28 11:43:00,4,4359.32,41,3,3,4,10,High-Value
12433,2011-12-09 10:02:00,10,16794.14,-1,4,4,4,12,High-Value
12434,2011-09-16 12:38:00,3,1103.43,83,3,2,3,8,Other
12435,2011-09-21 09:06:00,6,13925.93,78,3,3,4,10,High-Value
12436,2011-09-01 12:09:00,1,429.01,98,2,1,2,5,Other
12437,2011-12-08 11:35:00,38,11282.4,0,4,4,4,12,High-Value
12438,2011-11-25 13:28:00,2,2466.85,13,4,2,4,10,High-Value
12439,2010-01-26 12:11:00,2,1142.88,681,1,2,3,6,At-Risk
12440,2010-09-03 13:11:00,2,739.2,461,1,2,2,5,At-Risk
12441,2010-12-08 10:45:00,1,155.55,365,2,1,1,4,One-Time
12442,2011-12-06 14:22:00,1,144.06,2,4,1,1,6,One-Time
12443,2009-12-07 15:42:00,1,365.31,731,1,1,2,4,At-Risk
12444,2011-11-18 13:23:00,5,4085.46,20,4,3,4,11,High-Value
12445,2011-11-17 18:43:00,2,378.98,21,4,2,2,8,Other
12446,2011-10-13 12:50:00,1,1002.31,56,3,1,3,7,Other
12447,2011-04-10 13:25:00,1,431.49,242,2,1,2,5,Other
12448,2011-10-26 13:46:00,1,365.45,43,3,1,2,6,Other
12449,2011-11-17 13:46:00,5,4274.89,21,4,3,4,11,High-Value
12450,2011-07-06 14:41:00,5,688.2,155,2,3,2,7,Other
12451,2011-11-29 08:40:00,8,12629.88,9,4,4,4,12,High-Value
12452,2011-11-23 08:05:00,1,348.57,15,4,1,2,7,Other
12453,2011-07-28 14:08:00,1,707.09,133,2,1,2,5,Other
12454,2011-10-14 17:13:00,4,16459.78,55,3,3,4,10,High-Value
12455,2011-09-27 15:31:00,9,5722.95,72,3,4,4,11,High-Value
12456,2011-10-26 14:41:00,3,2581.04,43,3,2,4,9,High-Value
12457,2011-10-04 13:13:00,7,2555.91,65,3,3,4,10,High-Value
12458,2011-09-29 15:25:00,4,1502.49,70,3,3,3,9,High-Value
12459,2010-04-13 14:53:00,1,398.36,604,1,1,2,4,At-Risk
12460,2010-09-09 13:51:00,1,296.65,455,1,1,1,3,At-Risk
12461,2011-07-08 10:23:00,1,626.88,153,2,1,2,5,Other
12462,2011-11-21 09:11:00,2,937.59,17,4,2,3,9,High-Value
12463,2011-10-17 13:44:00,4,1200.78,52,3,3,3,9,High-Value
12464,2011-11-29 13:33:00,8,957.05,9,4,4,3,11,High-Value
12465,2011-11-22 16:34:00,2,682.19,16,4,2,2,8,Other
12467,2010-10-12 15:41:00,1,132.8,422,1,1,1,3,At-Risk
12468,2011-06-05 11:36:00,5,3238.74,186,2,3,4,9,High-Value
12469,2010-07-05 12:40:00,2,3070.54,521,1,2,4,7,At-Risk
12470,2010-01-19 11:01:00,1,211.95,688,1,1,1,3,At-Risk
12471,2011-12-07 15:43:00,71,35099.9,1,4,4,4,12,High-Value
12472,2011-11-07 14:01:00,19,14971.29,31,3,4,4,11,High-Value
12473,2011-10-17 11:27:00,3,2585.73,52,3,2,4,9,High-Value
12474,2011-11-22 14:39:00,29,11310.75,16,4,4,4,12,High-Value
12475,2011-10-17 10:10:00,2,1065.64,52,3,2,3,8,Other
12476,2011-11-24 12:40:00,18,12319.91,14,4,4,4,12,High-Value
12477,2011-11-17 09:51:00,9,20276.37,21,4,4,4,12,High-Value
12478,2011-12-06 09:56:00,1,545.99,2,4,1,2,7,Other
12479,2011-11-28 13:26:00,1,473.2,10,4,1,2,7,Other
12480,2011-11-11 14:52:00,7,4834.85,27,3,3,4,10,High-Value
12481,2011-11-17 08:29:00,14,11033.51,21,4,4,4,12,High-Value
12482,2010-05-12 16:51:00,27,21941.72,575,1,4,4,9,High-Value
12483,2011-11-22 17:02:00,19,4069.18,16,4,4,4,12,High-Value
12484,2011-11-04 15:18:00,9,5557.1,34,3,4,4,11,High-Value
12485,2010-06-28 15:22:00,1,708.1,528,1,1,2,4,At-Risk
12486,2010-10-04 12:14:00,1,917.28,430,1,1,3,5,At-Risk
12487,2009-12-09 11:36:00,1,285.3,729,1,1,1,3,At-Risk
12488,2011-11-30 08:50:00,3,1244.66,8,4,2,3,9,High-Value
12489,2011-01-07 13:13:00,1,298.93,335,2,1,1,4,One-Time
12490,2011-12-04 16:07:00,20,8764.64,4,4,4,4,12,High-Value
12491,2011-11-01 12:18:00,1,424.4,37,3,1,2,6,Other
12492,2011-10-07 15:15:00,3,607.21,62,3,2,2,7,Other
12493,2011-06-27 10:17:00,2,379.74,164,2,2,2,6,Other
12494,2011-11-24 09:34:00,9,1563.27,14,4,4,3,11,High-Value
12495,2010-03-09 10:53:00,1,277.4,639,1,1,1,3,At-Risk
12496,2010-03-29 14:06:00,2,45.34,619,1,2,1,4,At-Risk
12497,2011-09-19 12:29:00,3,5996.5,80,3,2,4,9,High-Value
12498,2011-11-18 12:53:00,3,349.7,20,4,2,2,8,Other
12499,2010-05-28 15:12:00,1,357.72,559,1,1,2,4,At-Risk
12500,2011-11-16 16:20:00,18,5559.21,22,4,4,4,12,High-Value
12501,2011-01-07 12:28:00,1,2025.39,335,2,1,3,6,Other
12502,2011-09-05 11:52:00,5,2995.87,94,3,3,4,10,High-Value
12503,2010-05-04 13:59:00,1,896.0,583,1,1,3,5,At-Risk
12504,2011-11-21 16:02:00,4,689.05,17,4,3,2,9,High-Value
12505,2010-10-27 09:18:00,1,787.2,407,1,1,2,4,At-Risk
12506,2011-04-21 08:54:00,1,73.5,231,2,1,1,4,One-Time
12507,2011-07-28 17:09:00,4,1508.06,133,2,3,3,8,Other
12508,2011-11-13 15:37:00,2,397.88,25,3,2,2,7,Other
12509,2011-02-28 14:45:00,1,158.5,283,2,1,1,4,One-Time
12510,2011-07-20 10:15:00,7,3039.03,141,2,3,4,9,High-Value
12511,2010-10-07 10:39:00,1,3084.02,427,1,1,4,6,At-Risk
12512,2011-10-04 14:55:00,2,132.18,65,3,2,1,6,Other
12513,2011-08-19 10:51:00,1,558.29,111,2,1,2,5,Other
12514,2011-03-17 16:38:00,2,1597.76,266,2,2,3,7,Other
12515,2010-12-21 15:43:00,1,278.7,352,2,1,1,4,One-Time
12516,2011-09-23 09:13:00,4,2288.62,76,3,3,4,10,High-Value
12517,2011-11-11 13:57:00,4,2301.6,27,3,3,4,10,High-Value
12518,2011-12-09 10:13:00,5,1840.89,-1,4,3,3,10,High-Value
12519,2011-10-07 09:26:00,2,626.54,62,3,2,2,7,Other
12520,2011-09-21 15:23:00,5,2346.26,78,3,3,4,10,High-Value
12521,2011-07-20 10:51:00,1,545.68,141,2,1,2,5,Other
12522,2011-10-31 15:30:00,2,156.72,38,3,2,1,6,Other
12523,2011-11-20 12:55:00,23,4010.35,18,4,4,4,12,High-Value
12524,2011-11-30 15:31:00,17,9794.11,8,4,4,4,12,High-Value
12525,2010-07-29 16:08:00,3,883.73,497,1,2,3,6,At-Risk
12526,2011-12-09 12:09:00,3,1172.66,-1,4,2,3,9,High-Value
12527,2011-09-19 11:55:00,5,717.51,80,3,3,2,8,Loyal
12528,2011-11-30 14:40:00,6,1645.48,8,4,3,3,10,High-Value
12529,2010-06-29 13:10:00,1,316.48,527,1,1,1,3,At-Risk
12530,2011-10-11 12:34:00,9,3381.26,58,3,4,4,11,High-Value
12531,2011-11-25 11:12:00,2,1771.2,13,4,2,3,9,High-Value
